Section,Content,Details,Link
Analytics,Amazon Athena,analyze data directly in Amazon S3 by using standard SQL,https://aws.amazon.com/athena/
Analytics,AWS Data Exchange,"find, subscribe to, and use third-party data in the cloud",https://aws.amazon.com/data-exchange/
Analytics,Amazon EMR,run big data frameworks to process and analyze vast amounts of data,https://aws.amazon.com/emr/
Analytics,AWS Glue,"discover, prepare, move, and integrate data from multiple sources",https://aws.amazon.com/glue/
Analytics,Amazon Kinesis,"collect, process, and analyze video and data streams in near real time",https://aws.amazon.com/kinesis/
Analytics,Amazon MSK,build and run applications that use Apache Kafka to process streaming data,https://aws.amazon.com/msk/
Analytics,Amazon OpenSearch Service,"deploy, operate, and scale OpenSearch clusters in the cloud",https://aws.amazon.com/opensearch-service/
Analytics,Amazon QuickSight,business intelligence service providing insights in a single dashboard,https://aws.amazon.com/quicksight/
Application Integration,Amazon EventBridge,use events to connect application components and build event-driven apps,https://aws.amazon.com/eventbridge/
Application Integration,Amazon SNS,provides message delivery from publishers to subscribers,https://aws.amazon.com/sns/
Application Integration,Amazon SQS,provides a queue to integrate and decouple distributed software systems,https://aws.amazon.com/sqs/
Application Integration,AWS Step Functions,integrate with Lambda and view workflows as event-driven steps,https://aws.amazon.com/step-functions/
Business Applications,Amazon Connect,omnichannel cloud contact center,https://aws.amazon.com/connect/
Business Applications,Amazon SES,send and receive emails through existing addresses and domains,https://aws.amazon.com/ses/
Cloud Financial Management,AWS Billing Conductor,custom billing service supporting showback and chargeback workflows,https://aws.amazon.com/billing/conductor/
Cloud Financial Management,AWS Budgets,set monthly cost budgets with alerts for actual or forecasted spend,https://aws.amazon.com/aws-cost-management/aws-budgets/
Cloud Financial Management,AWS Cost and Usage Report,contains the most comprehensive set of cost and usage data available,https://aws.amazon.com/aws-cost-management/aws-cost-and-usage-reporting/
Cloud Financial Management,AWS Cost Explorer,"visualize cost and usage over time, including 12-month forecasts",https://aws.amazon.com/aws-cost-management/aws-cost-explorer/
Cloud Financial Management,AWS Marketplace,"curated digital catalog of third-party software, data, and services",https://aws.amazon.com/marketplace
Compute,AWS Batch,run batch computing workloads,https://aws.amazon.com/batch/
Compute,Amazon EC2,provides scalable computing capacity in the AWS Cloud,https://aws.amazon.com/ec2/
Compute,AWS Elastic Beanstalk,deploy and manage applications without knowledge of underlying infrastructure,https://aws.amazon.com/elasticbeanstalk/
Compute,AWS Lambda,run code without the need to provision or manage servers,https://aws.amazon.com/lambda/
Compute,Amazon Lightsail,launch projects quickly from a simple management interface,https://aws.amazon.com/lightsail/
Compute,AWS Outposts,extends AWS infrastructure and services to customer premises,https://aws.amazon.com/outposts/
Containers,Amazon ECR,"secure, scalable, and reliable container image registry",https://aws.amazon.com/ecr/
Containers,Amazon ECS,"deploy, manage, and scale containerized applications",https://aws.amazon.com/ecs/
Containers,Amazon EKS,run Kubernetes without maintaining the control plane or nodes,https://aws.amazon.com/eks/
Containers,AWS Fargate,works with Amazon ECS to run containers without managing servers,https://aws.amazon.com/fargate/
Customer Engagement,AWS Activate for Startups,provides resources to help startups build and grow on AWS,https://aws.amazon.com/activate/
