Section,Content,Details,Link
アナリティクス,Amazon Athena,Amazon S3内のデータを標準SQLを使用して直接分析します,https://aws.amazon.com/athena/
アナリティクス,AWS Data Exchange,クラウド内のサードパーティデータを検索、購読、使用します,https://aws.amazon.com/data-exchange/
アナリティクス,Amazon EMR,大量のデータを処理・分析するためのビッグデータフレームワークを実行します,https://aws.amazon.com/emr/
アナリティクス,AWS Glue,複数のソースからのデータを検出、準備、移動、統合します,https://aws.amazon.com/glue/
アナリティクス,Amazon Kinesis,動画やデータストリームをリアルタイムで収集、処理、分析します,https://aws.amazon.com/kinesis/
アナリティクス,Amazon MSK,Apache Kafkaを使用してストリーミングデータを処理するアプリケーションを構築・実行します,https://aws.amazon.com/msk/
アナリティクス,Amazon OpenSearch Service,クラウド内でOpenSearchクラスターをデプロイ、運用、スケーリングします,https://aws.amazon.com/opensearch-service/
アナリティクス,Amazon QuickSight,単一のダッシュボードでインサイトを提供するビジネスインテリジェンスサービス,https://aws.amazon.com/quicksight/
アプリケーション統合,Amazon EventBridge,イベントを使用してアプリケーションコンポーネントを接続し、イベント駆動型アプリを構築します,https://aws.amazon.com/eventbridge/
アプリケーション統合,Amazon SNS,パブリッシャーからサブスクライバーへのメッセージ配信を提供します,https://aws.amazon.com/sns/
アプリケーション統合,Amazon SQS,分散ソフトウェアシステムを統合および分離するためのキューを提供します,https://aws.amazon.com/sqs/
アプリケーション統合,AWS Step Functions,Lambdaと統合し、ワークフローをイベント駆動型のステップとして表示します,https://aws.amazon.com/step-functions/
ビジネスアプリケーション,Amazon Connect,オムニチャネルのクラウドコンタクトセンター,https://aws.amazon.com/connect/
ビジネスアプリケーション,Amazon SES,既存のアドレスとドメインを使用してメールを送受信します,https://aws.amazon.com/ses/
クラウド財務管理,AWS Billing Conductor,請求とチャージバックのワークフローをサポートするカスタム請求サービス,https://aws.amazon.com/billing/conductor/
クラウド財務管理,AWS Budgets,実際または予測される支出に対してアラートを設定して予算管理,https://aws.amazon.com/aws-cost-management/aws-budgets/
クラウド財務管理,AWS Cost and Usage Report,利用可能な最も包括的なコストと使用状況データのセットを含みます,https://aws.amazon.com/aws-cost-management/aws-cost-and-usage-reporting/
クラウド財務管理,AWS Cost Explorer,12か月の予測を含む、過去のコストと使用状況を視覚化します,https://aws.amazon.com/aws-cost-management/aws-cost-explorer/
クラウド財務管理,AWS Marketplace,サードパーティのソフトウェア、データ、サービスの厳選されたデジタルカタログ,https://aws.amazon.com/marketplace
コンピュート,AWS Batch,バッチコンピューティングワークロードを実行します,https://aws.amazon.com/batch/
コンピュート,Amazon EC2,AWSクラウドでスケーラブルなコンピューティング能力を提供します,https://aws.amazon.com/ec2/
コンピュート,AWS Elastic Beanstalk,基盤となるインフラストラクチャの知識なしでアプリケーションをデプロイおよび管理します,https://aws.amazon.com/elasticbeanstalk/
コンピュート,AWS Lambda,サーバーのプロビジョニングや管理なしでコードを実行します,https://aws.amazon.com/lambda/
コンピュート,Amazon Lightsail,シンプルな管理インターフェースからプロジェクトを迅速に立ち上げます,https://aws.amazon.com/lightsail/
コンピュート,AWS Outposts,AWSのインフラストラクチャとサービスを顧客のオンプレミスに拡張します,https://aws.amazon.com/outposts/
